fen,best
1rb5/4r3/3p1npb/3kp1P1/1P3P1P/5nR1/2Q1BK2/bN4NR w - - 3 61,c2c4
rn1q2n1/b3k1pr/pp1pB1Qp/2p1p1P1/2P1PP2/5R1P/P2P4/RNB1K3 w - - 1 24,g6f7
8/3r3k/NP1p4/p2QP1P1/1BB3Pp/1R4n1/6K1/5R2 w - - 5 82,d5g8
1nr1r3/n4Q2/P1kp2N1/2p3B1/1pp3P1/6P1/1R2P2R/K5N1 w - - 3 43,f7b7
7Q/3Bk3/2P1p3/4P2P/7b/5K2/B7/1b6 w - - 3 78,h8e8
8/4nB2/7k/3P2R1/p4p2/8/P4K2/6R1 w - - 3 78,g5h5
rnbqkbnr/ppppp2p/8/5pp1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,d1h5
r3k3/1q3p1r/pPR1pB2/2p4p/B3b1pP/2p3P1/8/bN2K2R w - - 1 55,c6c8
1rr4q/6k1/2P1QRp1/1p2p1P1/P1P1P2p/3p1b2/P3B3/R1KN2N1 w - - 4 47,e6f7
k7/p4qn1/QPp1r3/1P1r1PB1/3N3P/1K2n3/7P/R4N1R w - - 6 55,a6c8
R7/P2k1B2/b4p2/1n3P2/b7/7P/1K5B/4R3 w - - 11 80,f7e8
1nr3k1/r7/3K1QP1/1P2pP1B/P2p2N1/3P4/8/8 w - - 1 64,g4h6
4Q2r/r3n2k/1p3R2/1P2p3/p3pbPN/8/4K3/4N3 w - - 3 54,e8f7
8/8/1p1p1P2/1P6/1P5Q/4Bk2/1n6/5K2 w - - 17 73,h4f4
2bq3r/3p2b1/3r1n1p/p1pN1p1k/Pp1N1QpP/3P3R/1PPKBPP1/7R w - - 0 24,f4f5
1q3bnr/rb2p3/2pNk1pp/p1Pp3P/3P2P1/4Pp1B/P1nB1P2/R1QK2NR w - - 4 22,g4g5
2k5/P7/RP1ppp2/1B2P2n/3P3b/8/8/5K2 w - - 0 83,a7a8q
3r4/6B1/1Q5r/p1pk4/6Pp/N2bpP1B/P3R2P/3R1K2 w - - 2 63,d1d3
r3bk1r/6pP/4P3/p6P/3B4/4p3/4K3/n7 w - - 1 77,d4c5
1K6/8/6R1/3N4/2b2Q2/8/R7/4k3 w - - 9 139,f4c1
